,Country or region,Happiness Score,Year
0,Switzerland,7.587,2015
1,Iceland,7.561,2015
2,Denmark,7.527,2015
3,Norway,7.522,2015
4,Canada,7.427,2015
5,Finland,7.406,2015
6,Netherlands,7.378,2015
7,Sweden,7.364,2015
8,New Zealand,7.286,2015
9,Australia,7.284,2015
0,Switzerland,7.509,2016
1,Iceland,7.501,2016
2,Denmark,7.526,2016
3,Norway,7.498,2016
4,Canada,7.404,2016
5,Finland,7.413,2016
6,Netherlands,7.339,2016
7,Sweden,7.291,2016
8,New Zealand,7.334,2016
9,Australia,7.313,2016
0,Switzerland,7.493,2017
1,Iceland,7.504,2017
2,Denmark,7.521,2017
3,Norway,7.537,2017
4,Canada,7.315,2017
5,Finland,7.468,2017
6,Netherlands,7.376,2017
7,Sweden,7.283,2017
8,New Zealand,7.314,2017
9,Australia,7.283,2017
0,Switzerland,7.487,2018
1,Iceland,7.495,2018
2,Denmark,7.555,2018
3,Norway,7.594,2018
4,Canada,7.328,2018
5,Finland,7.632,2018
6,Netherlands,7.441,2018
7,Sweden,7.314,2018
8,New Zealand,7.324,2018
9,Australia,7.272,2018
0,Switzerland,7.48,2019
1,Iceland,7.494,2019
2,Denmark,7.6,2019
3,Norway,7.554,2019
4,Canada,7.278,2019
5,Finland,7.769,2019
6,Netherlands,7.488,2019
7,Sweden,7.343,2019
8,New Zealand,7.307,2019
9,Australia,7.228,2019
